scenario_id,scenario_name,train_id,station_id,station_code,station_letter_code,station_name,is_junction,distance_km,scheduled_arrival_mins,signals_in_section,lcs_in_section,signal_delay_mins,gate_delay_mins,maintenance_delay_mins,accident_delay_mins,actual_arrival_mins,total_delay_mins,is_delayed_binary,dataset_split
1,Early Morning Clean Run,SR-EMU-01,1,MSB,STA_A,Chennai Beach,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,2,MSF,STA_B,Chennai Fort,0,1.8,3.5,2,0,0.5,0.0,0.0,0.0,4.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,3,MPK,STA_C,Chennai Park,0,3.07,6.5,2,0,0.0,0.0,0.0,0.0,7.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,4,MS,STA_D,Chennai Egmore,1,4.32,9.5,2,0,0.0,0.0,0.0,0.0,10.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,5,MSC,STA_E,Chetpet,0,6.56,14.5,3,0,0.0,0.0,0.0,0.0,15.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,6,NBK,STA_F,Nungambakkam,0,8.15,18.0,2,0,0.0,0.0,0.0,0.0,19.0,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,7,MKK,STA_G,Kodambakkam,0,9.68,21.5,2,0,0.0,0.0,0.0,0.0,22.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,8,MBM,STA_H,Mambalam,0,11.29,25.2,2,0,0.0,0.0,0.0,0.0,26.2,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,9,SP,STA_I,Saidapet,0,12.9,28.9,2,0,0.0,0.0,0.0,0.0,29.9,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,10,GDY,STA_J,Guindy,1,15.01,33.4,3,0,1.02,0.0,0.0,0.0,35.42,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,11,STM,STA_K,St. Thomas Mount,1,17.12,38.4,3,0,0.0,0.0,0.0,0.0,40.42,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,12,PZA,STA_L,Pazhavanthangal,0,18.75,42.6,2,0,0.0,0.0,0.0,0.0,44.62,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,13,MN,STA_M,Meenambakkam,0,20.04,45.6,2,0,0.0,0.0,0.0,0.0,47.62,2.02,0,TRAIN
